arch,l1d,l1i,l2,num,dim,simSeconds,simTicks,simInsts,simOps,l1d-cache-0.demandHits::total,l1d-cache-0.demandMisses::total,l1i-cache-0.demandHits::total,l1i-cache-0.demandMisses::total,l2-cache-0.demandHits::total,l2-cache-0.demandMisses::total,core.cpi,core.ipc
x86,32,128,128,1000000,20,0.002937,2937426000,1702355,2922286,664076,378,2193634,677,666,1078,1.725421,0.579569
ARM,128,32,1024,1000000,5,0.000281,281291000,172171,192213,50064,510,171671,521,707,855,1.633599,0.612145
ARM,32,64,512,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1061,1236,1.484154,0.673784
RISCV,128,64,256,1000000,10,0.000870,870133000,520012,520861,177118,502,635285,426,742,834,1.673127,0.597683
RISCV,128,64,512,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
ARM,128,32,512,1000000,40,0.010420,10420035000,7021893,7837955,3299944,851,7021385,540,802,1236,1.483929,0.673887
RISCV,128,32,1024,1000000,80,0.076585,76584900000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
x86,128,128,1024,1000000,80,0.075328,75328320000,43927744,64430812,19179460,725,55958746,691,1471,1449,1.714812,0.583154
RISCV,32,64,512,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
ARM,32,32,128,1000000,5,0.000282,281722000,172171,192213,50024,550,171671,521,750,859,1.636102,0.611209
RISCV,128,64,128,1000000,80,0.076585,76585008000,46308329,46359578,19951757,813,56488937,444,1696,1188,1.653796,0.604669
ARM,64,32,1024,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
x86,32,64,512,1000000,80,0.075338,75337548000,43927744,64430812,19178526,1659,55958746,691,4814,1370,1.715022,0.583083
ARM,128,32,512,1000000,5,0.000281,281291000,172171,192213,50064,510,171671,521,707,855,1.633599,0.612145
x86,64,32,512,1000000,20,0.002937,2936896000,1702355,2922286,664116,338,2193632,679,620,1078,1.725110,0.579673
RISCV,64,128,128,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
RISCV,128,64,512,1000000,40,0.014102,14102176000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643505,0.608456
RISCV,64,128,512,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
